Name,resultRepList
全部 夢のまま,ikari ikari iya iya yasu yorokobi aware iya yasu iya yorokobi suki suki
初恋の人を今でも,iya aware aware aware aware
別れ際、もっと好きになる,suki aware aware yorokobi yorokobi suki aware iya suki aware aware kowa suki aware iya
制服のマネキン,iya suki iya
制服を脱いでサヨナラを,iya aware aware takaburi yorokobi suki yorokobi
友情ピアス,aware yorokobi suki suki
口ほどにもないKISS,yorokobi suki iya odoroki takaburi suki yorokobi iya
口約束,suki yorokobi yorokobi odoroki aware odoroki yorokobi yorokobi
吐息のメソッド,iya iya iya suki aware iya iya aware
君が扇いでくれた,suki
君に贈る花がない,suki iya aware aware suki suki yorokobi yorokobi yorokobi suki iya aware
君の名は希望,aware takaburi aware yorokobi takaburi aware yorokobi yorokobi takaburi
君は僕と会わない方がよかったのかな,yorokobi aware yorokobi aware aware aware yorokobi yorokobi aware suki
告白の順番,ikari iya iya haji suki iya
命の真実 ミュージカル「林檎売りとカメムシ」,aware aware suki yorokobi aware
命は美しい,takaburi yasu iya aware yorokobi aware aware
図書室の君へ,suki suki iya takaburi iya kowa aware suki suki iya kowa
地球が丸いなら,aware suki yorokobi aware suki
夏のFreeEasy,kowa suki iya kowa iya yorokobi aware iya yorokobi kowa kowa
夜明けまで強がらなくてもいい,ikari iya kowa aware ikari kowa
大人への近道,kowa haji kowa iya iya aware iya
太陽に口説かれて,kowa yorokobi yorokobi suki takaburi iya iya
太陽ノック,aware kowa kowa aware yorokobi suki aware
失いたくないから,aware suki aware yorokobi suki kowa
失恋お掃除人,aware suki aware suki iya yorokobi yorokobi aware yasu aware iya yasu suki aware suki iya yorokobi iya
失恋したら、顔を洗え!,iya yorokobi iya aware aware yasu yasu iya takaburi aware aware yasu aware aware
女は一人じゃ眠れない,suki aware iya yorokobi aware aware aware takaburi aware aware
嫉妬の権利,aware iya kowa ikari iya ikari yorokobi aware iya ikari suki suki yasu iya ikari yorokobi aware
孤独な青空,aware suki iya iya aware
孤独兄弟,aware iya yorokobi aware yasu aware suki aware iya yorokobi
左胸の勇気,takaburi aware aware aware kowa takaburi iya aware yasu yasu suki takaburi aware
帰り道は遠回りしたくなる,suki suki iya iya suki aware aware yorokobi iya iya suki suki
平行線,suki aware iya suki aware yorokobi aware iya
強がる蕾,kowa yorokobi suki aware yorokobi yorokobi
当たり障りのない話,haji odoroki suki
心のモノローグ,suki aware yasu iya suki
心の薬,kowa iya aware aware yasu aware aware yorokobi aware aware yorokobi yorokobi yorokobi yasu aware yasu aware aware
忘却と美学,aware iya yorokobi kowa yorokobi suki iya yorokobi iya aware takaburi aware yorokobi kowa yorokobi suki
思い出ファースト,iya ikari iya aware aware aware
急斜面,iya iya suki yorokobi iya suki suki suki
悲しみの忘れ方,yorokobi iya iya aware suki kowa iya iya aware aware aware aware
意外BREAK,aware suki aware aware aware aware aware aware aware
憂鬱と風船ガム,yorokobi iya aware aware yorokobi yorokobi aware yasu iya aware aware yorokobi
扇風機,suki takaburi iya yorokobi yorokobi suki
指望遠鏡,yorokobi iya iya
新しい世界,aware aware suki suki aware suki aware suki suki
新しい花粉～ミュージカル「見知らぬ世界」より～,yasu yorokobi suki yorokobi iya iya
日常,iya iya iya yorokobi iya iya iya iya iya iya
